t1,t2,f1,f2,E
26.1,26.200000000000003,280.0,330.0,0.00612115920977444
30.900000000000002,31.0,300.0,350.0,0.006105599440062793
13.9,14.0,320.0,370.0,0.006025109342491361
21.400000000000002,21.5,320.0,370.0,0.005974461017207966
32.6,32.7,280.0,330.0,0.005958422972961516
25.8,25.900000000000002,300.0,350.0,0.0059447790994222975
6.6000000000000005,6.7,280.0,330.0,0.005938283816608608
21.1,21.200000000000003,320.0,370.0,0.00591618455026788
30.1,30.200000000000003,320.0,370.0,0.005864542145304742
32.0,32.1,300.0,350.0,0.005858310302035805
14.8,14.9,280.0,330.0,0.005636894541621785
15.0,15.100000000000001,280.0,330.0,0.00563443473044995
27.900000000000002,28.0,280.0,330.0,0.005576661373549536
19.900000000000002,20.0,320.0,370.0,0.005562809963537266
11.4,11.5,380.0,430.0,0.005560509448868653
18.400000000000002,18.5,280.0,330.0,0.005527380077454368
14.9,15.0,280.0,330.0,0.005461543974663713
21.3,21.400000000000002,320.0,370.0,0.005411101424839775
16.900000000000002,17.0,320.0,370.0,0.005391654017368133
25.3,25.400000000000002,320.0,370.0,0.005354597690006492
9.700000000000001,9.8,380.0,430.0,0.005278167414313588
3.3000000000000003,3.4000000000000004,280.0,330.0,0.005235806761902258
2.3000000000000003,2.4000000000000004,280.0,330.0,0.005224365982859332
20.8,20.900000000000002,140.0,190.0,0.005143484793008445
19.1,19.200000000000003,140.0,190.0,0.004845162284943929
29.200000000000003,29.3,280.0,330.0,0.0048317798493598485
10.5,10.600000000000001,380.0,430.0,0.004739165647722317
11.0,11.100000000000001,380.0,430.0,0.004719579768820176
8.0,8.1,320.0,370.0,0.004550799364939083
17.3,17.400000000000002,320.0,370.0,0.004528351269944526
28.3,28.400000000000002,280.0,330.0,0.004504535469576031
18.5,18.6,280.0,330.0,0.00447611308057523
30.8,30.900000000000002,320.0,370.0,0.00446465854481279
23.900000000000002,24.0,280.0,330.0,0.004453599490250518
26.200000000000003,26.3,280.0,330.0,0.004420153977905939
14.0,14.100000000000001,380.0,430.0,0.004419513430818773
16.1,16.2,300.0,350.0,0.004353407408521954
32.7,32.800000000000004,280.0,330.0,0.004337355090719108
6.1000000000000005,6.2,320.0,370.0,0.004278994708314556
23.1,23.200000000000003,140.0,190.0,0.004214702410657668
4.1000000000000005,4.2,280.0,330.0,0.004189159687876896
11.5,11.600000000000001,380.0,430.0,0.004112065962889251
9.8,9.9,380.0,430.0,0.003938634828941161
15.100000000000001,15.200000000000001,280.0,330.0,0.003937491166007654
4.0,4.1000000000000005,280.0,330.0,0.003917950161287533
10.0,10.100000000000001,320.0,370.0,0.003663580128207852
29.3,29.400000000000002,280.0,330.0,0.003628627221247374
28.400000000000002,28.5,320.0,370.0,0.0036099262317461365
3.4000000000000004,3.5,280.0,330.0,0.0036019594858182347
8.3,8.4,320.0,370.0,0.0035833125595007625
14.100000000000001,14.200000000000001,380.0,430.0,0.003576836921556084
8.5,8.6,280.0,330.0,0.0035477469586643507
25.400000000000002,25.5,320.0,370.0,0.003482724133277324
31.5,31.6,140.0,190.0,0.0033217939904010337
3.8000000000000003,3.9000000000000004,320.0,370.0,0.0033111267698041676
11.600000000000001,11.700000000000001,380.0,430.0,0.00330456868479662
17.6,17.7,300.0,350.0,0.003235036684364118
9.9,10.0,320.0,370.0,0.0032271598842844532
5.5,5.6000000000000005,300.0,350.0,0.0032167734937747893
8.700000000000001,8.8,280.0,330.0,0.003215190554339227
29.1,29.200000000000003,320.0,370.0,0.003209359459985027
18.6,18.7,280.0,330.0,0.0031901789147769895
11.100000000000001,11.200000000000001,380.0,430.0,0.003188197098608774
26.3,26.400000000000002,300.0,350.0,0.003164650545738747
24.0,24.1,280.0,330.0,0.0031592722726309806
19.200000000000003,19.3,280.0,330.0,0.003141085745971545
11.3,11.4,380.0,430.0,0.0031338695186883567
6.7,6.800000000000001,280.0,330.0,0.0030803039671208304
15.5,15.600000000000001,380.0,430.0,0.0030694093316270773
32.800000000000004,32.9,280.0,330.0,0.0030570920678464684
8.4,8.5,320.0,370.0,0.003030268430538746
19.3,19.400000000000002,140.0,190.0,0.003014325074585079
8.6,8.700000000000001,280.0,330.0,0.002986960054295956
6.0,6.1000000000000005,320.0,370.0,0.0029314865847759647
30.200000000000003,30.3,320.0,370.0,0.002902846649468319
10.600000000000001,10.700000000000001,380.0,430.0,0.0028680414218943116
